Chapter,Question / Concept Name,Book Sub-topic / Anchor,Scenario Domain,Real-World Scenario Setup
,45. Single-Core Constraints,Human Sequential Nature,Philosophical / Lifestyle,Accepting that humans cannot parallel-process deep creative work.
006: Overfitting & Relaxation,46. Overfitting,Noise Tracking,Business / Strategy,A startup optimizing its product entirely around one highly vocal user.
,47. Regularization,Penalty for Complexity,Creative / Design,A designer stripping away non-essential UI elements to keep a screen clean.
,"48. ""Less-is-More"" Effect",Simple Heuristics,Everyday / Sports,A basketball player relying on muscle memory instead of overthinking mechanics.
,49. Constraint Relaxation,Making Hard Problems Easy,Professional / Management,Easing a rigid budget limit temporarily to unlock a stuck project.
,50. Continuous Relaxation,Fractional Approximations,Social / Group Travel,"Planning an itinerary by treating travel times as flexible blocks, not fixed minutes."
,51. Cross-Validation,Out-of-Sample Testing,Business / Sales,Testing a sales pitch on an entirely new demographic before launching it.
,"52. The ""Gradually, then Suddenly"" Shift",Phase Transitions,Philosophical / Systems,"How small changes in systemic friction lead to sudden, massive backlogs."
,53. Occam’s Razor,Parsimony Principle,Professional / Science,Choosing the medical diagnosis that links all symptoms to one root cause.
,54. Early Stopping,Over-training Prevention,Creative / Writing,Stopping a painting or novel draft before you over-edit and ruin the spark.
007: Game Theory & Mechanism Design,55. Nash Equilibrium,Self-Enforcing Deadlock,Everyday / Driving,Drivers gridlocked at an intersection because no one wants to let others yield.
,56. Dominant Strategy,Always Optimal Choice,Social / Etiquette,Choosing to dress formally for an event when the dress code is ambiguous.
,57. Prisoner’s Dilemma,Collective Sabotage,Business / Marketing,Two competing stores launching massive discount wars that destroy both margins.
,58. Mechanism Design,Rule-Setting,Social / Parenting,"Designing a chore splitting system: ""One sibling cuts the cake, the other chooses."""
,59. Vickrey Auction,"Second-Price, Sealed-Bid",Professional / Tech,How automated online auction systems prevent users from bidding tracking snipers.
,60. Tragedy of the Commons,Resource Depletion,Social / Community,A shared office refrigerator getting messy because cleaning is no one's job.
,61. Information Asymmetry,Lemon Problem,Personal / Market,Buying a used car from a seller who knows significantly more about its flaws.
,62. Evolutionary Stable Strategy,Behavioral Dynamics,Philosophical / Biology,Why aggressive vs. cooperative animal behaviors find an equilibrium in nature.
,63. Incentive Alignment,Good Outsourcing,Business / Operations,Paying a home contractor a bonus based on completion speed and safety metrics.
